id,object,result_position,cid,internal_review_id,is_user_local_guide,lang,origin,place_id,place_name,published_at,published_at_datetime,pictures,place_average_score,review_link,response_from_owner,score,text,total_likes,total_reviews,user_name,user_link,user_internal_id,user_reviews_count,user_image_url,visited_in,zero_x,collected_at,input_url,input_sort_by,input_language,SourceFile
8080086,result,1,1.0670013003893334e+19,ChZDSUhNMG9nS0VJQ0FnSURCMnRLaVJBEAE,t,en,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,a year ago,2023-01-17 09:27:24.623492+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURCMnRLaVJBEAE!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgIDB2tKiRA%7CCgwI_NOZngYQoPemqQI%7C?hl=en,,5,Ok,0,202,Phú Võ,https://www.google.com/maps/contrib/116392759821945771102?hl=en,116392759821945771102,51,https://lh3.googleusercontent.com/a/ACg8ocKUEpkhJgwnYtqfC_8eEyv6-yDoUNGvp4lYpJ7jrb3yqIA6SDw=s120-c-rp-mo-ba3-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:54.316507+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080087,result,2,1.0670013003893334e+19,ChdDSUhNMG9nS0VJQ0FnSUNRMFllVV9nRRAB,t,en,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,7 years ago,2016-09-07 04:26:15.276+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNRMFllVV9nRRAB!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgICQ0YeU_gE%7CCgwI562-vgUQgNrNgwE%7C?hl=en,,4,good,1,202,Minhphu Tran,https://www.google.com/maps/contrib/101445653173365113091?hl=en,101445653173365113091,175,https://lh3.googleusercontent.com/a-/ALV-UjUwZ3qnhf2UM2W3m9APTTNFImk-QMm1ImNz9GPDMY5cn0aDlWRn=s120-c-rp-mo-ba4-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:54.928095+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080088,result,3,1.0670013003893334e+19,ChdDSUhNMG9nS0VJQ0FnSUNBNHJTdTl3RRAB,f,en,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,6 years ago,2017-07-23 08:49:43.595+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNBNHJTdTl3RRAB!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgICA4rSu9wE%7CCgwIrcbRywUQgPSfxAI%7C?hl=en,,3,Ok!,2,202,An Phuc Thien,https://www.google.com/maps/contrib/108486594076284433192?hl=en,108486594076284433192,286,https://lh3.googleusercontent.com/a-/ALV-UjVMsaOkJT8mcSj58YuogGeJrqqHm-yCJbn1UgfAyvhC1MAENMTd-A=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:55.427638+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080090,result,5,1.0670013003893334e+19,ChZDSUhNMG9nS0VJQ0FnSUN3LTVmMk5nEAE,f,en,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,5 years ago,2018-07-29 13:56:21.693+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN3LTVmMk5nEAE!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgICw-5f2Ng%7CCgsIj4_32gUQwNKPWg%7C?hl=en,,1,ok,0,202,Mạnh Cường,https://www.google.com/maps/contrib/104774595628164453558?hl=en,104774595628164453558,245,https://lh3.googleusercontent.com/a/ACg8ocLFEPKeKE6NB6AJmt5UlAvJ4AO6FeF5Qq6_g7PobGEnl4Z71Q=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:56.285805+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080091,result,6,1.0670013003893334e+19,ChZDSUhNMG9nS0VJQ0FnSUREM3JfMUxREAE,f,vi,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,3 weeks ago,2024-04-10 02:36:29.74361+00,"https://lh5.googleusercontent.com/p/AF1QipO0iAQq1O5HklNgoA_ZXZ3Q-9LmaeTTjvkyHIi-, https://lh5.googleusercontent.com/p/AF1QipPnh0sgZwfHTW5sRrxNyGOoUHHJ5i2AaS-M7FM2",3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUREM3JfMUxREAE!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgIDD3r_1LQ%7CCgwIrfbXsAYQkK3K4gI%7C?hl=en,"Bệnh viện Phụ Sản Nhi Bình Dương chân thành cảm ơn nhận xét và cảm nghĩ của chị về bệnh viện, các nhân viên Y tế, Y Bác sĩ của viện. Chúng tôi luôn cố gắng để phục vụ quý khách, quý bệnh nhân ngày càng tốt hơn, lấy bệnh nhân làm trung tâm. Xin chúc chị và gia đình luôn khỏe mạnh hạnh phúc. Trân trọng",5,"At my 36-week follow-up visit, the baby's heart rate was a bit unstable! So I went to the hospital, the hospital looked very small from the outside but inside was spacious! The most special thing about the hospital is the openness and sociability of everyone from the security guards to the doctors, everyone was happy, gentle and enthusiastic in a close, psychological way when I was first admitted to the hospital. I was very scared because I was worried about the hospital's cold air and that people would be difficult and bored, but now I've completely changed my mind! Thank you for the professionalism of the hospital's medical team! The cleaning ladies are very clean and friendly! Even if it's expensive, I don't want to change the hospital",7,202,Kim Ngân Phùng thị,https://www.google.com/maps/contrib/109751376082231441681?hl=en,109751376082231441681,4,https://lh3.googleusercontent.com/a-/ALV-UjXW0GX29Nz0OTll6DS8id1rzKWu-1LT_KLl5L-yuk4_mgloyOFVoA=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:56.6841+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080092,result,7,1.0670013003893334e+19,ChdDSUhNMG9nS0VJQ0FnSUMxNXJxYzdRRRAB,t,vi,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,4 months ago,2023-12-29 01:48:34.932234+00,"https://lh5.googleusercontent.com/p/AF1QipNckYV-DYlVX6hjbavhGWEfAqUMRXitOcHqBvTS, https://lh5.googleusercontent.com/p/AF1QipOektClhl11aB5uvq7Jv4MsvcR-RDkcqppJ9GnM, https://lh5.googleusercontent.com/p/AF1QipPDR7g3tGcD1RVRrCi3k_6N6Wwup7d6Mljoej6s, https://lh5.googleusercontent.com/p/AF1QipOgBj8OpZjjjE5ux6gQqYUY69j4UrmI80ghCcBF, https://lh5.googleusercontent.com/p/AF1QipPxWHH0JRIDQJnz4bVa4ikr6DUoZIROu2QAWDA2, https://lh5.googleusercontent.com/p/AF1QipN0UKNg177oAAt8sfy_js19LLQiwW5WfgI4l-V6, https://lh5.googleusercontent.com/p/AF1QipMtV3tfiptlylzdxp_4MqbHutQboWJgbEq_CtSq, https://lh5.googleusercontent.com/p/AF1QipMfQoI7VsxhbrrDegxpTUZC1MQQlgtXfXauTmEe, https://lh5.googleusercontent.com/p/AF1QipN5b8wpatcUejT3hakoeSoBU0FL5bqq3cM73BOZ, https://lh5.googleusercontent.com/p/AF1QipPgxNDOyFy0JJJIj2szvxG3WXUDXiA-RljPoFZ_, https://lh5.googleusercontent.com/p/AF1QipM7Y-3UtI7jRUZK-pR0R3JLt_hEWH-GNoo954eb, https://lh5.googleusercontent.com/p/AF1QipNcGtWCzeqtyXJgslNk49SJMscB8rSAbB_qCFmk, https://lh5.googleusercontent.com/p/AF1QipNeIHYvXubIuLuZ_gZzw0crDEHiW1T0qMBJmVFq, https://lh5.googleusercontent.com/p/AF1QipM-AYp22kZYFvfQh4fzmbiTFpiCkv7W98d0RjCm, https://lh5.googleusercontent.com/p/AF1QipNRdRmZpBz8ho6xy1i48xfu7cmmYFExKNMLkvl1",3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxNXJxYzdRRRAB!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgIC15rqc7QE%7CCgsIg8u4rAYQsKuaUg%7C?hl=en,"Cảm ơn bạn đã đến trải nghiệm và sử dụng dịch vụ của bệnh viện Bệnh viện mong được phục vụ quý bệnh nhân tốt hơn nữa. Và xin cảm ơn ý kiến đóng góp, sự ủng hộ của quý bệnh nhân",4,"It's okay to give birth here, so choosing a room with 1 bed for the mother and 1 bed for relatives will be better. It's clean, airy and comfortable, with a balcony to dry clothes with hot water. It's a bit old, but the strollers are a bit old. The nurse and doctor are a bit noisy. The package is 15 million for a normal birth with food for the mother at every meal",6,202,Quang Nguyen,https://www.google.com/maps/contrib/104568119441586538229?hl=en,104568119441586538229,27,https://lh3.googleusercontent.com/a-/ALV-UjXaI2HA1PiEjDNm38yjBAQQ9jqFkZJTpaofOxTHVEAaOM_5PZGy=s120-c-rp-mo-ba4-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:57.11583+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080093,result,8,1.0670013003893334e+19,ChZDSUhNMG9nS0VJQ0FnSURWcDYzOVdBEAE,f,vi,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,4 months ago,2023-12-17 16:33:59.150402+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURWcDYzOVdBEAE!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgIDVp639WA%7CCgsI98X8qwYQ0OfbRw%7C?hl=en,Cảm ơn chị đã quay lại sanh bé ở bệnh viện và những góp ý của mình. Bệnh viện Phụ Sản Nhi Bình Dương luôn tiếp nhận thông tin và không ngừng cải tiến để phục vụ người bệnh tốt hơn.,5,"Had a medical examination and cesarean section at the hospital in 2019, and now in 2023, I will continue to have a cesarean section at the hospital. I have suggestions: 1. The hospital's parking lot is narrow. The service price is 3,000 VND/motorbike, but the security guard doesn't take the car for you. The parking fee service is as bad as a public hospital. 2 . Equipment, machinery and patient uniforms need to be replaced. Too old compared to the service price, it is a first-line obstetrics hospital in Binh Duong province. 3 . Before entering the room to get the numbers, I lost 165K in lottery money. The cashier is not enthusiastic with customers and still does his own work. 4. The post-cesarean section recovery room needs to have a doctor on duty, directly when the patient needs it. 5 . After 4 years, returning is a new team of young, enthusiastic doctors and nurses. 6 . The crowded ultrasound waiting room needs additional air conditioning and is quite hot. 7 . The toilet runs out of paper every afternoon when I go to check on pregnant women. WE WISH THE HOSPITAL DIRECTOR READ THIS COMMENTS!",5,202,Hiên Trần,https://www.google.com/maps/contrib/107506006109013235487?hl=en,107506006109013235487,1,https://lh3.googleusercontent.com/a-/ALV-UjVlq9W6t7lOGkwyJ05KOSfi1FrvTzsH7QLeGOVE6-E9042HsKQ=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:57.539988+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080094,result,9,1.0670013003893334e+19,ChZDSUhNMG9nS0VJQ0FnSURaa3Q3RFV3EAE,f,vi,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,7 months ago,2023-09-27 16:41:44.483706+00,"https://lh5.googleusercontent.com/p/AF1QipM5dXXGC4KvQF28BnznxouSVJNX6NjFKx9xLy_H, https://lh5.googleusercontent.com/p/AF1QipNhh2Pd72TxQa2YwMEaiaIvX-goqMwyYYnvBTf3",3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURaa3Q3RFV3EAE!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgIDZkt7DUw%7CCgwIyLbRqAYQkInT5gE%7C?hl=en,,1,"I followed the entire pregnancy, had ultrasound tests without any problems, and the baby was also born here. As a result, no matter how many ultrasounds, my child was unable to detect congenital tetralogy of Fallot-cardia, which can be detected through ultrasound. Now I went to see a doctor somewhere else and listened to the heart through a stethoscope and discovered that the baby had been sick for more than 3 months, but for 7 days at the hospital, the doctor came every day to listen but could not hear anything. So disappointed, never recommend anyone to come here again",20,202,Thùy Mơ Phạm,https://www.google.com/maps/contrib/103700292532622883358?hl=en,103700292532622883358,6,https://lh3.googleusercontent.com/a-/ALV-UjWnPkCyfJuqNu6rOsQ8cOac7y7zkfDh-lfFh2B_0t31O-Y4D7K0eA=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:57.919395+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080095,result,10,1.0670013003893334e+19,ChdDSUhNMG9nS0VJQ0FnSUMxdHU2S25RRRAB,f,vi,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,4 months ago,2023-12-29 13:48:56.243244+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxdHU2S25RRRAB!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgIC1tu6KnQE%7CCgsIyJy7rAYQ4Lf-cw%7C?hl=en,"Xin chào chị Nhung Trần Đầu tiên BV xin chúc mừng chị Mẹ tròn Con vuông. BV xin ghi nhận thông tin và sẽ thay đổi tốt hơn. Có lẽ Bs, NHS chưa cắt TSM mình vì muốn bảo toàn TSM cho mình (không phải con so) hay chưa đến đúng lúc cắt làm mình hiểu lầm. Mong chị thông cảm. Các chị NHS tay nghề, được đào tạo đúng chuyên môn và luôn báo tình hình cho BS thăm khám. BV mong được phục vụ quý bệnh nhân tốt hơn nữa. Và xin cảm ơn ý kiến đóng góp, sự ủng hộ của quý bệnh nhân.",2,"The prenatal checkup was ok, but the birth experience was haunting. The cost of giving birth was 12 million but there was no doctor during the birth. There were only 2 midwives. The pregnant woman stood and scolded her if she didn't know how to push. She didn't help with the episiotomy so that the tear would tear and then the baby would lie on the mother's chest and still be pressed because the mother didn't know how to push, making the tear too terrible. , the midwife was afraid that she would be implicated if anything happened. Even now, touching the laceration still gives me chills.",4,202,Nhung Tran,https://www.google.com/maps/contrib/106465745629551090310?hl=en,106465745629551090310,5,https://lh3.googleusercontent.com/a-/ALV-UjV6YPdi6mCp4bKpBNhY8O-OXZq_sczp40wJUUqJSuWDdIvqCJyM=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:58.304105+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
8080096,result,11,1.0670013003893334e+19,ChZDSUhNMG9nS0VJQ0FnSUQxcjhXbEdREAE,f,vi,Google,ChIJB4dyrDjRdDER9WPcfUuAE5Q,Binh Duong Obstetrics and Gynecology Hospital,3 months ago,2024-01-10 20:28:30.033814+00,,3.1,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQxcjhXbEdREAE!2m1!1s0x0:0x9413804b7ddc63f5!3m1!1s2@1:CIHM0ogKEICAgID1r8WlGQ%7CCgsIr8r_rAYQ-Im6Aw%7C?hl=en,"Bệnh viện có in bảng kê chi tiết cho bệnh nhân khi thanh toán bao gồm phí khám, dịch vụ phòng giường, thuốc .......... Quí bệnh nhân có thể tham khảo Xin cảm ơn",1,"I stayed in a 2-bed room for 700k/day. Staying for 7 days is 4.9 million on the receipt, but it's almost 7 million and for 2 million, I don't know what the fee is. Potato millet is not detailed and can be grouped into the same general form as the word service.",3,202,Thắng Nguyễn,https://www.google.com/maps/contrib/109756024179422050234?hl=en,109756024179422050234,1,https://lh3.googleusercontent.com/a-/ALV-UjVPeOBXWTlNRRLSStuN5W_p8k7dNhyDzAg7EOe4EZlcpkqKCdfM=s120-c-rp-mo-br100,,0x0:0x9413804b7ddc63f5,2024-05-06 07:37:59.276553+00,"https://www.google.com/maps/place/Binh+Duong+Obstetrics+and+Gynecology+Hospital/@11.0042176,106.5697164,13z/data=!4m12!1m2!2m1!1zYuG7h25oIHZp4buHbiBiw6xuaCBkxrDGoW5n!3m8!1s0x3174d138ac728707:0x9413804b7ddc63f5!8m2!3d10.9824357!4d106.6533113!9m1!1b1!15sChti4buHbmggdmnhu4duIGLDrG5oIGTGsMahbmeSAQxneW5lY29sb2dpc3TgAQA!16s%2Fg%2F1hc8lk8ch?entry=ttu",most_relevant,English (United States),Google Maps Reviews BBPhuSan_Bametreem
